date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2020-03-01T00:00:00.000,Wilshire,510,0,M,O,34.0375,-118.3506,,2020
2020-02-09T00:00:00.000,Central,330,47,M,O,34.0444,-118.2628,,2020
2020-11-11T00:00:00.000,Southwest,480,19,X,X,34.021,-118.3002,,2020
2023-05-10T00:00:00.000,Van Nuys,343,19,M,O,34.1576,-118.4387,,2020
2022-08-18T00:00:00.000,Hollywood,354,28,M,H,34.0944,-118.3277,,2020
2023-04-04T00:00:00.000,Southeast,354,41,M,H,33.9467,-118.2463,,2020
2023-04-04T00:00:00.000,Central,354,25,M,H,34.0415,-118.262,,2020
2022-07-22T00:00:00.000,Southwest,354,27,F,B,34.0335,-118.3537,,2020
2023-04-28T00:00:00.000,Newton,354,24,F,B,33.9911,-118.2521,,2020
2020-12-31T00:00:00.000,Mission,624,26,M,H,34.2336,-118.4535,,2020
2022-01-21T00:00:00.000,Southeast,354,26,M,B,33.9492,-118.2739,,2020
2022-04-12T00:00:00.000,Mission,821,8,F,H,34.2285,-118.4258,,2020
2023-01-05T00:00:00.000,Rampart,812,7,F,W,34.0868,-118.2991,,2020
2022-05-06T00:00:00.000,West Valley,510,0,,,34.1939,-118.4859,,2020
2023-03-16T00:00:00.000,Rampart,810,13,F,H,34.0539,-118.2799,,2020
2023-06-01T00:00:00.000,Southwest,354,56,M,B,34.0103,-118.3456,,2020
2023-02-03T00:00:00.000,Southeast,354,22,F,B,33.9551,-118.2814,,2020
2023-12-24T00:00:00.000,Newton,354,23,M,B,34.0112,-118.2716,,2020
2020-11-27T00:00:00.000,Wilshire,230,31,F,O,34.0452,-118.3351,,2020
2022-09-20T00:00:00.000,West Valley,956,30,F,O,34.166,-118.5033,,2020
2022-02-03T00:00:00.000,Wilshire,341,57,F,B,34.0608,-118.3359,,2020
2023-04-25T00:00:00.000,West LA,341,56,F,W,34.0677,-118.552,,2020
2023-03-21T00:00:00.000,Mission,812,12,F,H,34.2246,-118.4654,,2020
2023-06-04T00:00:00.000,Olympic,812,7,F,H,34.0433,-118.2892,,2020
2020-09-09T00:00:00.000,Hollenbeck,510,0,,,34.082,-118.213,,2020
2023-08-03T00:00:00.000,Topanga,354,46,M,B,34.1938,-118.5906,,2020
2022-02-02T00:00:00.000,Northeast,930,30,F,W,34.1084,-118.2639,,2020
2022-02-23T00:00:00.000,Topanga,668,0,,,34.2105,-118.6157,,2020
2021-03-20T00:00:00.000,77th Street,354,51,M,B,33.9785,-118.3068,,2020
